Region,Month of Period End,Median Sale Price in Thousands,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List as %,Average Sale To List MoM ,Average Sale To List YoY ,Average Listing Price Thousands
"Los Angeles, CA metro area",August 2019,635.0,-2.3%,1.1%,"6,659",1.4%,-4.5%,"7,461",-6.8%,-11.8%,"19,023",-4.3%,0.7%,47,1,9,99.4,0.0%,-0.6%,638
"Los Angeles, CA metro area",September 2019,640.0,0.8%,4.1%,"5,802",-12.9%,10.9%,"7,217",-3.3%,-3.6%,"18,824",-1.0%,-3.9%,49,2,8,99.4,0.0%,-0.1%,643
"Los Angeles, CA metro area",October 2019,642.0,0.2%,4.6%,"6,255",7.8%,6.3%,"6,870",-4.8%,-10.6%,"17,770",-5.6%,-10.2%,49,0,5,99.4,-0.1%,0.0%,645
"Los Angeles, CA metro area",November 2019,639.0,-0.3%,2.8%,"5,512",-11.9%,8.2%,"4,949",-28.0%,-16.0%,"15,854",-10.8%,-15.6%,48,-1,3,99.5,0.2%,0.4%,642
"Los Angeles, CA metro area",December 2019,650.0,1.6%,8.3%,"5,749",4.3%,17.4%,"3,311",-33.1%,-5.1%,"12,142",-23.4%,-24.7%,53,5,3,99.3,-0.3%,0.4%,654
"Los Angeles, CA metro area",January 2020,635.0,-2.3%,7.4%,"4,531",-21.2%,18.3%,"6,286",89.9%,-8.5%,"12,810",5.5%,-26.2%,58,5,0,99.2,-0.1%,0.7%,640
"Los Angeles, CA metro area",February 2020,636.0,0.1%,5.9%,"4,384",-3.2%,12.3%,"6,676",6.2%,4.7%,"13,612",6.3%,-25.1%,48,-10,-11,99.6,0.4%,0.8%,638
"Los Angeles, CA metro area",March 2020,660.0,3.9%,6.5%,"5,191",18.4%,-3.6%,"6,185",-7.4%,-20.6%,"13,635",0.2%,-26.9%,41,-7,-10,100.2,0.6%,1.2%,658
"Los Angeles, CA metro area",April 2020,650.0,-1.5%,3.8%,"3,834",-26.1%,-36.6%,"4,383",-29.1%,-47.3%,"13,584",-0.4%,-29.5%,38,-3,-10,100.0,-0.2%,0.7%,650
"Los Angeles, CA metro area",May 2020,635.0,-2.3%,1.5%,"3,156",-17.7%,-52.4%,"6,384",45.7%,-27.7%,"14,914",9.8%,-24.8%,44,6,-1,99.2,-0.8%,-0.3%,640
"Los Angeles, CA metro area",June 2020,655.0,3.1%,3.1%,"4,623",46.5%,-27.0%,"7,274",13.9%,-8.6%,"15,537",4.2%,-22.5%,42,-2,-3,99.3,0.0%,-0.3%,659
"Los Angeles, CA metro area",July 2020,700.0,6.9%,7.7%,"6,239",35.0%,-5.0%,"8,499",16.8%,6.1%,"15,954",2.7%,-19.7%,42,0,-4,99.9,0.6%,0.5%,700
"Los Angeles, CA metro area",August 2020,710.0,1.4%,11.8%,"6,306",1.1%,-5.3%,"8,332",-2.0%,11.7%,"16,265",1.9%,-14.5%,40,-2,-7,100.2,0.3%,0.8%,708
"Los Angeles, CA metro area",September 2020,730.0,2.8%,14.1%,"6,723",6.6%,15.9%,"8,496",2.0%,17.7%,"16,464",1.2%,-12.5%,39,-1,-10,100.7,0.5%,1.3%,724
"Los Angeles, CA metro area",October 2020,735.0,0.7%,14.6%,"6,988",3.9%,11.7%,"8,634",1.6%,25.7%,"16,688",1.4%,-6.1%,37,-2,-12,101.0,0.2%,1.6%,727
"Los Angeles, CA metro area",November 2020,718.0,-2.3%,12.3%,"6,145",-12.1%,11.5%,"6,060",-29.8%,22.4%,"15,328",-8.1%,-3.3%,38,1,-10,101.0,0.1%,1.5%,710
"Los Angeles, CA metro area",December 2020,730.0,1.7%,12.3%,"7,166",16.6%,24.6%,"4,750",-21.6%,43.5%,"12,465",-18.7%,2.7%,40,2,-13,100.9,-0.1%,1.6%,723
"Los Angeles, CA metro area",January 2021,721.0,-1.3%,13.5%,"5,192",-27.5%,14.6%,"6,354",33.8%,1.1%,"12,371",-0.8%,-3.4%,43,3,-15,100.8,-0.1%,1.6%,715
"Los Angeles, CA metro area",February 2021,745.0,3.4%,17.2%,"5,041",-2.9%,15.0%,"7,026",10.6%,5.2%,"12,508",1.1%,-8.1%,41,-2,-7,101.1,0.3%,1.4%,736
"Los Angeles, CA metro area",March 2021,775.0,4.0%,17.4%,"7,128",41.4%,37.3%,"8,577",22.1%,38.7%,"12,661",1.2%,-7.1%,35,-6,-6,102.0,1.0%,1.8%,759
"Los Angeles, CA metro area",April 2021,792.0,2.2%,21.8%,"7,507",5.3%,95.8%,"8,398",-2.1%,91.6%,"12,899",1.9%,-5.0%,33,-2,-5,102.9,0.9%,2.9%,769
"Los Angeles, CA metro area",May 2021,811.0,2.4%,27.7%,"7,044",-6.2%,123.2%,"8,310",-1.0%,30.2%,"13,177",2.2%,-11.6%,31,-2,-13,103.4,0.5%,4.1%,784
"Los Angeles, CA metro area",June 2021,828.0,2.1%,26.4%,"7,723",9.6%,67.1%,"8,767",5.5%,20.5%,"13,410",1.8%,-13.7%,31,0,-11,103.7,0.3%,4.4%,798
"Los Angeles, CA metro area",July 2021,821.0,-0.8%,17.3%,"7,340",-5.0%,17.6%,"8,954",2.1%,5.4%,"14,195",5.9%,-11.0%,31,0,-11,103.5,-0.2%,3.6%,793
"Los Angeles, CA metro area",August 2021,825.0,0.5%,16.2%,"7,046",-4.0%,11.7%,"8,053",-10.1%,-3.3%,"14,051",-1.0%,-13.6%,32,1,-8,103.2,-0.3%,3.0%,799
"Los Angeles, CA metro area",September 2021,820.0,-0.6%,12.3%,"6,982",-0.9%,3.9%,"7,729",-4.0%,-9.0%,"13,650",-2.9%,-17.1%,34,2,-5,102.6,-0.6%,1.9%,799
"Los Angeles, CA metro area",October 2021,810.0,-1.2%,10.2%,"6,806",-2.5%,-2.6%,"7,239",-6.3%,-16.2%,"13,000",-4.8%,-22.1%,34,0,-3,102.5,0.0%,1.6%,790
"Los Angeles, CA metro area",November 2021,820.0,1.2%,14.2%,"6,535",-4.0%,6.3%,"5,572",-23.0%,-8.1%,"11,231",-13.6%,-26.7%,34,0,-4,102.5,0.0%,1.5%,800
"Los Angeles, CA metro area",December 2021,840.0,2.4%,15.1%,"6,849",4.8%,-4.4%,"3,891",-30.2%,-18.1%,"8,485",-24.5%,-31.9%,36,2,-4,102.4,-0.1%,1.5%,820
"Los Angeles, CA metro area",January 2022,825.0,-1.8%,14.5%,"4,828",-29.5%,-7.0%,"5,896",51.5%,-7.2%,"8,880",4.7%,-28.2%,39,3,-4,102.3,-0.2%,1.5%,806
"Los Angeles, CA metro area",February 2022,840.0,1.8%,12.8%,"4,691",-2.8%,-6.9%,"6,639",12.6%,-5.5%,"9,612",8.2%,-23.2%,32,-7,-9,103.5,1.2%,2.4%,811
"Los Angeles, CA metro area",March 2022,875.0,4.2%,12.9%,"6,591",40.5%,-7.5%,"7,849",18.2%,-8.5%,"10,127",5.4%,-20.0%,28,-4,-7,104.8,1.3%,2.8%,834
"Los Angeles, CA metro area",April 2022,900.0,2.9%,13.6%,"6,356",-3.6%,-15.3%,"7,829",-0.3%,-6.8%,"11,087",9.5%,-14.0%,27,-1,-6,105.3,0.5%,2.4%,854
"Los Angeles, CA metro area",May 2022,900.0,0.0%,11.0%,"6,005",-5.5%,-14.8%,"7,986",2.0%,-3.9%,"12,375",11.6%,-6.1%,27,0,-4,105.0,-0.3%,1.7%,857
"Los Angeles, CA metro area",June 2022,890.0,-1.1%,7.5%,"6,127",2.0%,-20.7%,"8,328",4.3%,-5.0%,"14,157",14.4%,5.6%,29,2,-2,103.7,-1.3%,0.0%,858
"Los Angeles, CA metro area",July 2022,861.0,-3.3%,4.8%,"4,969",-18.9%,-32.3%,"7,197",-13.6%,-19.6%,"15,336",8.3%,8.0%,34,5,3,101.9,-1.8%,-1.6%,844
"Los Angeles, CA metro area",August 2022,845.0,-1.8%,2.4%,"5,111",2.9%,-27.5%,"6,512",-9.5%,-19.1%,"15,215",-0.8%,8.3%,38,4,6,100.4,-1.5%,-2.8%,841
"Los Angeles, CA metro area",September 2022,840.0,-0.6%,2.4%,"4,837",-5.4%,-30.7%,"5,792",-11.1%,-25.1%,"15,032",-1.2%,10.1%,43,5,9,99.6,-0.8%,-3.0%,843
"Los Angeles, CA metro area",October 2022,825.0,-1.8%,1.9%,"4,155",-14.1%,-39.0%,"5,263",-9.1%,-27.3%,"14,609",-2.8%,12.4%,44,1,10,99.5,-0.2%,-3.1%,829
"Los Angeles, CA metro area",November 2022,810.0,-1.8%,-1.2%,"3,711",-10.7%,-43.2%,"3,995",-24.1%,-28.3%,"13,497",-7.6%,20.2%,47,3,13,98.8,-0.6%,-3.7%,819
"Los Angeles, CA metro area",December 2022,798.0,-1.5%,-5.0%,"3,614",-2.6%,-47.2%,"2,535",-36.5%,-34.8%,"11,085",-17.9%,30.6%,51,4,15,98.5,-0.4%,-3.9%,810
"Los Angeles, CA metro area",January 2023,799.0,0.1%,-3.2%,"2,855",-21.0%,-40.9%,"4,168",64.4%,-29.3%,"11,033",-0.5%,24.2%,60,9,21,98.4,-0.1%,-3.9%,811
"Los Angeles, CA metro area",February 2023,795.0,-0.5%,-5.4%,"3,071",7.6%,-34.5%,"4,234",1.6%,-36.2%,"10,767",-2.4%,12.0%,56,-4,24,98.8,0.4%,-4.7%,804
"Los Angeles, CA metro area",March 2023,820.0,3.1%,-6.3%,"4,481",45.9%,-32.0%,"5,267",24.4%,-32.9%,"10,491",-2.6%,3.6%,44,-12,16,99.7,0.9%,-5.1%,822
"Los Angeles, CA metro area",April 2023,829.0,1.2%,-7.8%,"3,934",-12.2%,-38.1%,"5,029",-4.5%,-35.8%,"10,414",-0.7%,-6.1%,38,-6,11,100.5,0.8%,-4.8%,824
"Los Angeles, CA metro area",May 2023,842.0,1.5%,-6.4%,"4,686",19.1%,-22.0%,"5,795",15.2%,-27.4%,"10,681",2.6%,-13.7%,34,-4,7,101.1,0.6%,-4.0%,832
"Los Angeles, CA metro area",June 2023,862.0,2.4%,-3.1%,"4,860",3.7%,-20.7%,"5,818",0.4%,-30.1%,"10,884",1.9%,-23.1%,34,0,5,101.4,0.3%,-2.3%,850
"Los Angeles, CA metro area",July 2023,861.0,-0.2%,0.0%,"4,104",-15.6%,-17.4%,"5,409",-7.0%,-24.8%,"11,293",3.8%,-26.4%,32,-2,-2,101.7,0.3%,-0.2%,846
"Los Angeles, CA metro area",August 2023,867.0,0.8%,2.6%,"4,659",13.5%,-8.8%,"5,431",0.4%,-16.6%,"11,293",0.0%,-25.8%,34,2,-4,101.6,-0.1%,1.2%,853
"Los Angeles, CA metro area",September 2023,870.0,0.3%,3.6%,"3,895",-16.4%,-19.5%,"5,204",-4.2%,-10.2%,"11,710",3.7%,-22.1%,36,2,-7,101.0,-0.6%,1.4%,861
"Los Angeles, CA metro area",October 2023,880.0,1.1%,6.7%,"3,929",0.9%,-5.4%,"5,337",2.6%,1.4%,"12,080",3.2%,-17.3%,37,1,-7,100.7,-0.3%,1.2%,873
"Los Angeles, CA metro area",November 2023,875.0,-0.6%,8.0%,"3,518",-10.5%,-5.2%,"4,216",-21.0%,5.5%,"11,514",-4.7%,-14.7%,38,1,-9,100.5,-0.2%,1.6%,870
"Los Angeles, CA metro area",December 2023,850.0,-2.9%,6.5%,"3,555",1.1%,-1.6%,"2,648",-37.2%,4.5%,"9,638",-16.3%,-13.1%,42,4,-9,100.0,-0.4%,1.6%,850
"Los Angeles, CA metro area",January 2024,842.0,-1.0%,5.3%,"3,059",-14.0%,7.1%,"4,942",86.6%,18.6%,"10,374",7.6%,-6.0%,50,8,-10,99.7,-0.4%,1.3%,844
"Los Angeles, CA metro area",February 2024,875.0,4.0%,10.1%,"3,303",8.0%,7.6%,"5,024",1.7%,18.7%,"10,830",4.4%,0.6%,43,-7,-13,100.5,0.8%,1.7%,870
"Los Angeles, CA metro area",March 2024,876.0,0.1%,6.8%,"4,086",23.7%,-8.8%,"5,456",8.6%,3.6%,"11,100",2.5%,5.8%,37,-6,-7,100.8,0.3%,1.1%,869
"Los Angeles, CA metro area",April 2024,900.0,2.8%,8.5%,"4,449",8.9%,13.1%,"6,489",18.9%,29.0%,"12,142",9.4%,16.6%,34,-3,-4,101.3,0.5%,0.8%,888
"Los Angeles, CA metro area",May 2024,908.0,0.8%,7.7%,"4,751",6.8%,1.4%,"6,794",4.7%,17.2%,"13,034",7.3%,22.0%,35,1,1,101.3,0.0%,0.2%,896
"Los Angeles, CA metro area",June 2024,925.0,1.9%,7.3%,"4,334",-8.8%,-10.8%,"6,307",-7.2%,8.4%,"13,139",0.8%,20.7%,36,1,2,101.3,0.0%,-0.1%,913
"Philadelphia, PA metro area",January 2012,134.0,-4.3%,-5.6%,973,-24.7%,9.7%,"2,106",70.3%,11.8%,"10,285",1.7%,-5.5%,88,4,9,92.4,-0.7%,-1.2%,145
"Philadelphia, PA metro area",February 2012,135.0,0.7%,0.0%,990,1.7%,13.8%,"2,421",15.0%,9.6%,"10,551",2.6%,-5.4%,93,5,4,92.1,-0.3%,-1.0%,146
"Philadelphia, PA metro area",March 2012,138.0,2.2%,-3.7%,"1,327",34.0%,9.3%,"2,938",21.4%,-6.0%,"10,619",0.6%,-8.5%,94,1,-9,93.3,1.2%,-0.1%,147
"Philadelphia, PA metro area",April 2012,153.0,10.7%,11.1%,"1,352",1.9%,5.2%,"2,660",-9.5%,-7.7%,"10,745",1.2%,-10.7%,74,-20,-18,94.2,0.9%,0.8%,162
"Philadelphia, PA metro area",May 2012,167.0,9.3%,9.2%,"1,646",21.7%,11.3%,"2,583",-2.9%,-0.3%,"10,714",-0.3%,-12.6%,64,-10,-8,94.5,0.3%,0.1%,176
"Philadelphia, PA metro area",June 2012,175.0,4.8%,4.8%,"1,669",1.4%,5.8%,"2,344",-9.3%,-9.3%,"10,491",-2.1%,-14.8%,54,-10,-6,94.8,0.2%,0.7%,184
"Philadelphia, PA metro area",July 2012,170.0,-2.9%,4.9%,"1,563",-6.4%,12.1%,"2,294",-2.1%,5.4%,"10,271",-2.1%,-16.1%,59,5,-8,94.4,-0.4%,0.2%,180
"Philadelphia, PA metro area",August 2012,165.0,-2.9%,6.5%,"1,660",6.2%,18.9%,"2,318",1.0%,13.1%,"10,209",-0.6%,-14.5%,68,9,-1,94.4,0.0%,0.2%,174
"Philadelphia, PA metro area",September 2012,150.0,-9.2%,-0.7%,"1,304",-21.4%,3.6%,"2,315",-0.1%,6.4%,"10,364",1.5%,-12.0%,72,4,-12,93.8,-0.6%,0.0%,159
"Philadelphia, PA metro area",October 2012,150.0,0.0%,11.9%,"1,262",-3.2%,15.1%,"2,185",-5.6%,4.6%,"10,094",-2.6%,-12.7%,66,-6,-16,94.0,0.2%,1.1%,159
"Philadelphia, PA metro area",November 2012,150.0,0.0%,5.6%,"1,431",13.4%,26.7%,"1,625",-25.6%,-6.4%,"9,594",-5.0%,-14.2%,69,3,-20,93.6,-0.4%,0.7%,160
"Philadelphia, PA metro area",December 2012,152.0,1.3%,8.6%,"1,441",0.7%,11.5%,"1,214",-25.3%,-1.9%,"8,636",-10.0%,-14.6%,69,0,-15,93.9,0.3%,0.8%,161
"Philadelphia, PA metro area",January 2013,136.0,-10.3%,1.8%,"1,196",-17.0%,22.9%,"2,295",89.0%,9.0%,"8,684",0.6%,-15.6%,77,8,-11,93.5,-0.4%,1.1%,145
"Philadelphia, PA metro area",February 2013,140.0,2.6%,3.6%,"1,148",-4.0%,16.0%,"2,346",2.2%,-3.1%,"8,816",1.5%,-16.4%,88,11,-5,93.4,-0.1%,1.4%,149
"Philadelphia, PA metro area",March 2013,155.0,10.8%,12.3%,"1,401",22.0%,5.6%,"2,898",23.5%,-1.4%,"9,008",2.2%,-15.2%,80,-8,-14,94.3,0.8%,1.0%,164
"Philadelphia, PA metro area",April 2013,146.0,-5.8%,-4.4%,"1,645",17.4%,21.7%,"3,203",10.5%,20.4%,"9,509",5.6%,-11.5%,56,-24,-18,94.8,0.5%,0.5%,154
"Philadelphia, PA metro area",May 2013,170.0,16.4%,1.8%,"1,989",20.9%,20.8%,"2,884",-10.0%,11.7%,"9,753",2.6%,-9.0%,46,-10,-18,95.2,0.5%,0.7%,178
"Philadelphia, PA metro area",June 2013,185.0,8.8%,5.7%,"2,014",1.3%,20.7%,"2,468",-14.4%,5.3%,"9,739",-0.1%,-7.2%,43,-3,-11,95.6,0.3%,0.8%,193
"Philadelphia, PA metro area",July 2013,175.0,-5.4%,2.9%,"1,869",-7.2%,19.6%,"2,627",6.4%,14.5%,"9,809",0.7%,-4.5%,46,3,-13,95.2,-0.4%,0.8%,183
"Philadelphia, PA metro area",August 2013,170.0,-2.9%,3.0%,"1,852",-0.9%,11.6%,"2,272",-13.5%,-2.0%,"9,652",-1.6%,-5.5%,52,6,-16,95.1,0.0%,0.8%,178
"Philadelphia, PA metro area",September 2013,156.0,-8.2%,4.1%,"1,581",-14.6%,21.2%,"2,512",10.6%,8.5%,"9,840",1.9%,-5.1%,56,4,-16,94.9,-0.2%,1.2%,164
"Philadelphia, PA metro area",October 2013,150.0,-3.8%,0.0%,"1,535",-2.9%,21.6%,"2,394",-4.7%,9.6%,"9,637",-2.1%,-4.5%,57,1,-9,94.4,-0.5%,0.5%,158
"Philadelphia, PA metro area",November 2013,152.0,1.3%,1.3%,"1,369",-10.8%,-4.3%,"1,778",-25.7%,9.4%,"9,215",-4.4%,-4.0%,57,0,-12,94.3,-0.1%,0.7%,161
"Philadelphia, PA metro area",December 2013,152.0,-0.3%,-0.3%,"1,513",10.5%,5.0%,"1,257",-29.3%,3.5%,"8,267",-10.3%,-4.3%,66,9,-3,94.3,0.0%,0.4%,161
"Philadelphia, PA metro area",January 2014,148.0,-2.6%,8.1%,"1,154",-23.7%,-3.5%,"1,960",55.9%,-14.6%,"8,175",-1.1%,-5.9%,63,-3,-14,93.9,-0.4%,0.4%,157
"Philadelphia, PA metro area",February 2014,144.0,-2.5%,2.8%,980,-15.1%,-14.6%,"1,968",0.4%,-16.1%,"8,203",0.3%,-7.0%,76,13,-12,93.9,-0.1%,0.4%,153
"Philadelphia, PA metro area",March 2014,150.0,4.3%,-3.3%,"1,318",34.5%,-5.9%,"3,019",53.4%,4.2%,"8,723",6.3%,-3.2%,82,6,2,94.2,0.4%,0.0%,159
"Philadelphia, PA metro area",April 2014,150.0,0.0%,2.7%,"1,523",15.6%,-7.4%,"3,492",15.7%,9.0%,"9,150",4.9%,-3.8%,64,-18,8,94.6,0.4%,-0.2%,158
"Philadelphia, PA metro area",May 2014,165.0,10.1%,-2.9%,"1,830",20.2%,-8.0%,"3,204",-8.2%,11.1%,"9,527",4.1%,-2.3%,41,-23,-5,95.3,0.7%,0.0%,173
"Philadelphia, PA metro area",June 2014,175.0,6.1%,-5.4%,"2,068",13.0%,2.7%,"2,873",-10.3%,16.4%,"10,073",5.7%,3.4%,34,-7,-9,95.6,0.3%,0.0%,183
"Philadelphia, PA metro area",July 2014,170.0,-2.8%,-2.8%,"1,928",-6.8%,3.2%,"2,674",-6.9%,1.8%,"10,415",3.4%,6.2%,35,1,-11,95.3,-0.3%,0.2%,178
"Philadelphia, PA metro area",August 2014,172.0,1.1%,1.2%,"1,829",-5.1%,-1.2%,"2,372",-11.3%,4.4%,"10,319",-0.9%,6.9%,44,9,-8,95.3,-0.1%,0.1%,180
"Philadelphia, PA metro area",September 2014,150.0,-12.8%,-3.8%,"1,639",-10.4%,3.7%,"2,727",15.0%,8.6%,"10,528",2.0%,7.0%,53,9,-3,94.7,-0.5%,-0.2%,158
"Philadelphia, PA metro area",October 2014,150.0,0.0%,0.0%,"1,704",4.0%,11.0%,"2,566",-5.9%,7.2%,"10,412",-1.1%,8.0%,59,6,2,94.7,0.0%,0.3%,158
"Philadelphia, PA metro area",November 2014,152.0,1.3%,0.0%,"1,446",-15.1%,5.6%,"1,777",-30.7%,-0.1%,"9,905",-4.9%,7.5%,55,-4,-2,94.7,0.0%,0.4%,160
"Philadelphia, PA metro area",December 2014,150.0,-1.3%,-1.0%,"1,736",20.1%,14.7%,"1,472",-17.2%,17.1%,"8,938",-9.8%,8.1%,67,12,1,94.9,0.1%,0.6%,158
"Philadelphia, PA metro area",January 2015,145.0,-3.3%,-1.7%,"1,243",-28.4%,7.7%,"2,099",42.6%,7.1%,"8,871",-0.7%,8.5%,72,5,9,94.7,-0.2%,0.8%,153
"Philadelphia, PA metro area",February 2015,135.0,-6.9%,-6.1%,"1,242",-0.1%,26.7%,"2,231",6.3%,13.4%,"8,887",0.2%,8.3%,81,9,5,94.5,-0.1%,0.7%,142
"Philadelphia, PA metro area",March 2015,153.0,13.0%,1.7%,"1,554",25.1%,17.9%,"3,078",38.0%,2.0%,"9,294",4.6%,6.5%,83,2,1,94.6,0.1%,0.4%,161
"Philadelphia, PA metro area",April 2015,160.0,4.7%,6.5%,"1,784",14.8%,17.1%,"3,529",14.7%,1.1%,"9,848",6.0%,7.6%,67,-16,3,95.1,0.5%,0.5%,168
"Philadelphia, PA metro area",May 2015,169.0,5.8%,2.4%,"1,973",10.6%,7.8%,"3,230",-8.5%,0.8%,"10,091",2.5%,5.9%,45,-22,4,95.8,0.7%,0.5%,176
"Philadelphia, PA metro area",June 2015,189.0,11.9%,8.0%,"2,498",26.6%,20.8%,"3,001",-7.1%,4.5%,"10,120",0.3%,0.5%,40,-5,6,96.0,0.2%,0.4%,196
"Philadelphia, PA metro area",July 2015,180.0,-4.8%,5.8%,"2,296",-8.1%,19.1%,"2,714",-9.6%,1.5%,"10,033",-0.9%,-3.7%,44,4,9,95.9,-0.1%,0.6%,187
"Philadelphia, PA metro area",August 2015,173.0,-4.2%,0.3%,"1,982",-13.7%,8.4%,"2,555",-5.9%,7.7%,"9,871",-1.6%,-4.3%,50,6,6,95.9,0.0%,0.6%,180
"Philadelphia, PA metro area",September 2015,159.0,-7.8%,6.0%,"1,782",-10.1%,8.7%,"2,599",1.7%,-4.7%,"9,923",0.5%,-5.7%,56,6,3,95.4,-0.4%,0.7%,166
"Philadelphia, PA metro area",October 2015,164.0,2.8%,9.0%,"1,908",7.1%,12.0%,"2,508",-3.5%,-2.3%,"9,698",-2.3%,-6.9%,60,4,1,95.1,-0.3%,0.4%,172
"Philadelphia, PA metro area",November 2015,150.0,-8.3%,-1.3%,"1,496",-21.6%,3.5%,"2,151",-14.2%,21.0%,"9,290",-4.2%,-6.2%,55,-5,0,95.0,0.0%,0.3%,157
"Philadelphia, PA metro area",December 2015,160.0,6.7%,6.7%,"1,937",29.5%,11.6%,"1,568",-27.1%,6.5%,"8,362",-10.0%,-6.4%,58,3,-9,95.2,0.2%,0.3%,168
"Philadelphia, PA metro area",January 2016,153.0,-4.7%,5.2%,"1,481",-23.5%,19.1%,"2,083",32.8%,-0.8%,"8,250",-1.3%,-7.0%,69,11,-3,95.0,-0.1%,0.4%,161
"Philadelphia, PA metro area",February 2016,148.0,-3.0%,9.7%,"1,463",-1.2%,17.8%,"2,545",22.2%,14.1%,"8,355",1.3%,-6.0%,71,2,-10,94.8,-0.2%,0.3%,156
"Philadelphia, PA metro area",March 2016,160.0,8.1%,4.9%,"1,768",20.8%,13.8%,"3,451",35.6%,12.1%,"8,792",5.2%,-5.4%,69,-2,-14,95.4,0.5%,0.8%,167
"Philadelphia, PA metro area",April 2016,171.0,6.9%,7.1%,"2,007",13.5%,12.5%,"3,238",-6.2%,-8.2%,"8,761",-0.4%,-11.0%,52,-17,-15,96.2,0.8%,1.0%,177
"Philadelphia, PA metro area",May 2016,190.0,11.1%,12.5%,"2,272",13.2%,15.2%,"3,092",-4.5%,-4.3%,"8,714",-0.5%,-13.6%,41,-11,-4,96.3,0.2%,0.5%,197
"Philadelphia, PA metro area",June 2016,195.0,2.6%,3.2%,"2,869",26.3%,14.9%,"2,955",-4.4%,-1.5%,"8,692",-0.3%,-14.1%,40,-1,0,97.0,0.7%,1.0%,201
"Philadelphia, PA metro area",July 2016,185.0,-5.1%,2.8%,"2,290",-20.2%,-0.3%,"2,481",-16.0%,-8.6%,"8,642",-0.6%,-13.9%,36,-4,-8,96.6,-0.5%,0.6%,191
"Philadelphia, PA metro area",August 2016,181.0,-2.2%,4.9%,"2,371",3.5%,19.6%,"2,538",2.3%,-0.7%,"8,144",-5.8%,-17.5%,44,8,-6,96.6,0.1%,0.8%,187
"Philadelphia, PA metro area",September 2016,172.0,-5.0%,8.2%,"2,035",-14.2%,14.2%,"2,643",4.1%,1.7%,"8,292",1.8%,-16.4%,48,4,-8,96.4,-0.2%,1.0%,178
"Philadelphia, PA metro area",October 2016,169.0,-1.7%,3.4%,"1,879",-7.7%,-1.5%,"2,505",-5.2%,-0.1%,"8,254",-0.5%,-14.9%,48,0,-12,96.2,-0.3%,1.1%,175
"Philadelphia, PA metro area",November 2016,172.0,1.6%,14.5%,"1,894",0.8%,26.6%,"1,971",-21.3%,-8.4%,"7,780",-5.7%,-16.3%,49,1,-6,95.8,-0.4%,0.7%,179
"Philadelphia, PA metro area",December 2016,176.0,2.5%,10.0%,"2,019",6.6%,4.2%,"1,521",-22.8%,-3.0%,"6,946",-10.7%,-16.9%,48,-1,-10,96.0,0.3%,0.8%,183
"Philadelphia, PA metro area",January 2017,172.0,-2.3%,12.8%,"1,503",-25.6%,1.5%,"2,299",51.2%,10.4%,"6,925",-0.3%,-16.1%,62,14,-7,95.9,-0.1%,0.9%,179
"Philadelphia, PA metro area",February 2017,161.0,-6.4%,8.8%,"1,512",0.6%,3.3%,"2,663",15.8%,4.6%,"7,226",4.3%,-13.5%,60,-2,-11,95.6,-0.3%,0.8%,168
"Philadelphia, PA metro area",March 2017,175.0,8.7%,9.4%,"2,075",37.2%,17.4%,"3,378",26.8%,-2.1%,"7,493",3.7%,-14.8%,52,-8,-17,96.0,0.4%,0.7%,182
"Philadelphia, PA metro area",April 2017,190.0,8.5%,11.1%,"2,090",0.7%,4.1%,"3,257",-3.6%,0.6%,"7,812",4.3%,-10.8%,42,-10,-10,96.6,0.6%,0.5%,196
"Philadelphia, PA metro area",May 2017,200.0,5.2%,5.2%,"2,579",23.4%,13.5%,"3,244",-0.4%,4.9%,"7,802",-0.1%,-10.5%,35,-7,-6,97.2,0.6%,0.9%,205
"Philadelphia, PA metro area",June 2017,213.0,6.6%,9.2%,"3,006",16.6%,4.8%,"3,068",-5.4%,3.8%,"7,856",0.7%,-9.6%,34,-1,-6,97.2,0.0%,0.2%,219
"Philadelphia, PA metro area",July 2017,205.0,-3.8%,10.8%,"2,389",-20.5%,4.3%,"2,650",-13.6%,6.8%,"7,747",-1.4%,-10.4%,35,1,-1,97.4,0.2%,0.8%,210
"Philadelphia, PA metro area",August 2017,190.0,-7.4%,4.9%,"2,463",3.1%,3.9%,"2,718",2.6%,7.1%,"7,592",-2.0%,-6.8%,38,3,-6,96.9,-0.5%,0.3%,196
"Philadelphia, PA metro area",September 2017,185.0,-2.6%,7.6%,"2,078",-15.6%,2.1%,"2,698",-0.7%,2.1%,"7,705",1.5%,-7.1%,41,3,-7,96.8,-0.1%,0.4%,191
"Philadelphia, PA metro area",October 2017,187.0,1.1%,10.7%,"2,053",-1.2%,9.3%,"2,556",-5.3%,2.0%,"7,627",-1.0%,-7.6%,43,2,-5,96.6,-0.2%,0.4%,193
"Philadelphia, PA metro area",November 2017,185.0,-1.1%,7.7%,"2,079",1.3%,9.8%,"2,007",-21.5%,1.8%,"7,163",-6.1%,-7.9%,54,11,5,96.3,-0.4%,0.5%,192
"Philadelphia, PA metro area",December 2017,190.0,2.6%,7.9%,"2,078",0.0%,2.9%,"1,411",-29.7%,-7.2%,"6,232",-13.0%,-10.3%,57,3,9,96.3,0.1%,0.3%,197
